objection_id,category,belief_block,approx_freq,resistance_level,source_master_path,evidence_tier,pii_status,owner,notes
OBJ-CAT-TRUST,TRUST,RB-10,~91,L2,00_AI_OPERATING_SYSTEM\03_CLIENT_ADVISORY_OS\03_CONVERSATION_CONVERSION\03_DECISION_PSYCHOLOGY_AND_BELIEF_RESOLUTION_v2.1.md,T3,none,Advisory Desk,#1 objection type ~24%
OBJ-CAT-TIMING,TIMING,RB-01;RB-03,~82,L2-L4,00_AI_OPERATING_SYSTEM\03_CLIENT_ADVISORY_OS\03_CONVERSATION_CONVERSION\03_DECISION_PSYCHOLOGY_AND_BELIEF_RESOLUTION_v2.1.md,T3,none,Advisory Desk,#2 ~22% market timing
OBJ-CAT-PRICE,FINANCIAL,RB-06;RB-11,~71,L2-L3,00_AI_OPERATING_SYSTEM\03_CLIENT_ADVISORY_OS\03_CONVERSATION_CONVERSION\03_DECISION_PSYCHOLOGY_AND_BELIEF_RESOLUTION_v2.1.md,T3,none,Advisory Desk,buyer quantum + seller pricing
OBJ-CAT-LOAN,FINANCIAL,RB-05;RB-16,~50,L1-L4,00_AI_OPERATING_SYSTEM\03_CLIENT_ADVISORY_OS\03_CONVERSATION_CONVERSION\03_DECISION_PSYCHOLOGY_AND_BELIEF_RESOLUTION_v2.1.md,T3,none,Advisory Desk,values + knowledge sub-types; RAM
OBJ-CAT-COMPARE,DECISION,RB-02,~42,L1.5,00_AI_OPERATING_SYSTEM\03_CLIENT_ADVISORY_OS\03_CONVERSATION_CONVERSION\03_DECISION_PSYCHOLOGY_AND_BELIEF_RESOLUTION_v2.1.md,T3,none,Advisory Desk,need to compare resale vs new
OBJ-CAT-EXIT,PROPERTY,RB-15,~41,L2,00_AI_OPERATING_SYSTEM\03_CLIENT_ADVISORY_OS\03_CONVERSATION_CONVERSION\03_DECISION_PSYCHOLOGY_AND_BELIEF_RESOLUTION_v2.1.md,T3,none,Advisory Desk,liquidity/en-bloc/stuck
OBJ-CAT-MONTHLY,FINANCIAL,RB-12,~37,L4,00_AI_OPERATING_SYSTEM\03_CLIENT_ADVISORY_OS\03_CONVERSATION_CONVERSION\03_DECISION_PSYCHOLOGY_AND_BELIEF_RESOLUTION_v2.1.md,T3,none,Advisory Desk,installment stress; RAM Stretch Tenure
OBJ-CAT-ATTACH,PROPERTY,RB-13,~31,L3,00_AI_OPERATING_SYSTEM\03_CLIENT_ADVISORY_OS\03_CONVERSATION_CONVERSION\03_DECISION_PSYCHOLOGY_AND_BELIEF_RESOLUTION_v2.1.md,T3,none,Advisory Desk,emotional attachment / own-stay
OBJ-CAT-THINK,DECISION,RB-02;RB-03,~25,L1.5,00_AI_OPERATING_SYSTEM\03_CLIENT_ADVISORY_OS\03_CONVERSATION_CONVERSION\03_DECISION_PSYCHOLOGY_AND_BELIEF_RESOLUTION_v2.1.md,T3,none,Advisory Desk,paralysis / no rush
OBJ-CAT-SPOUSE,SPOUSE_AND_FAMILY,RB-07;RB-09,~13,L4,00_AI_OPERATING_SYSTEM\03_CLIENT_ADVISORY_OS\03_CONVERSATION_CONVERSION\03_DECISION_PSYCHOLOGY_AND_BELIEF_RESOLUTION_v2.1.md,T3,none,Advisory Desk,biggest late-stage stall
OBJ-CAT-CPF,FINANCIAL,RB-17,~11,L1-L2,00_AI_OPERATING_SYSTEM\03_CLIENT_ADVISORY_OS\03_CONVERSATION_CONVERSION\03_DECISION_PSYCHOLOGY_AND_BELIEF_RESOLUTION_v2.1.md,T3,none,Advisory Desk,beat the 2.5% hurdle
OBJ-CAT-SHBH,DECISION,RB-04,~8,L2,00_AI_OPERATING_SYSTEM\03_CLIENT_ADVISORY_OS\03_CONVERSATION_CONVERSION\03_DECISION_PSYCHOLOGY_AND_BELIEF_RESOLUTION_v2.1.md,T3,none,Advisory Desk,sell-high-buy-higher
OBJ-CAT-RENT,PROPERTY,RB-14,~5,L4,00_AI_OPERATING_SYSTEM\03_CLIENT_ADVISORY_OS\03_CONVERSATION_CONVERSION\03_DECISION_PSYCHOLOGY_AND_BELIEF_RESOLUTION_v2.1.md,T3,none,Advisory Desk,renting/transition gap
OBJ-CAT-OPPCOST,FINANCIAL,RB-18,~4-8,L2,00_AI_OPERATING_SYSTEM\03_CLIENT_ADVISORY_OS\03_CONVERSATION_CONVERSION\03_DECISION_PSYCHOLOGY_AND_BELIEF_RESOLUTION_v2.1.md,T3,none,Advisory Desk,competing asset class
OBJ-CAT-COMPLEX,PROCESS,RB-08,NA,L1,00_AI_OPERATING_SYSTEM\03_CLIENT_ADVISORY_OS\03_CONVERSATION_CONVERSION\03_DECISION_PSYCHOLOGY_AND_BELIEF_RESOLUTION_v2.1.md,T3,none,Advisory Desk,numeracy/complexity confusion
