asset_id,asset_type,name,category_or_model,source_master_path,evidence_tier,pii_status,owner,notes
DQ-001,question-set,Core Opening Questions,motivation,00_AI_OPERATING_SYSTEM\03_CLIENT_ADVISORY_OS\04_TRIGGER_QUESTIONS\01_ADVISORY_TRIGGER_QUESTION_BANK_v2.0.md,T5,none,Advisory Desk,Trigger Q Bank §2
DQ-002,question-set,Ascent Stage Questions,situation,00_AI_OPERATING_SYSTEM\03_CLIENT_ADVISORY_OS\04_TRIGGER_QUESTIONS\01_ADVISORY_TRIGGER_QUESTION_BANK_v2.0.md,T5,none,Advisory Desk,Trigger Q Bank §3
DQ-003,question-set,Belief-Shift Sequences,problem,00_AI_OPERATING_SYSTEM\03_CLIENT_ADVISORY_OS\04_TRIGGER_QUESTIONS\02_BELIEF_SHIFT_QUESTION_SEQUENCES_v2.0.md,T5,none,Advisory Desk,15 sequences
DQ-004,question-set,Readiness / Tier Questions,suitability,00_AI_OPERATING_SYSTEM\03_CLIENT_ADVISORY_OS\04_TRIGGER_QUESTIONS\01_ADVISORY_TRIGGER_QUESTION_BANK_v2.0.md,T5,none,Advisory Desk,Trigger Q Bank §6
DQ-005,question-set,Next-Action Questions,commitment,00_AI_OPERATING_SYSTEM\03_CLIENT_ADVISORY_OS\04_TRIGGER_QUESTIONS\01_ADVISORY_TRIGGER_QUESTION_BANK_v2.0.md,T5,none,Advisory Desk,Trigger Q Bank §7
DM-001,model,Ascent Model A0-A2,ascent,00_AI_OPERATING_SYSTEM\03_CLIENT_ADVISORY_OS\01_FOUNDATION\MAS_ASCENT_MODEL_REFERENCE_v2.0.md,T5,none,Advisory Desk,client journey spine; A3/A4 retired per Decision 063
DM-002,model,Readiness Model R1-R4,readiness,00_AI_OPERATING_SYSTEM\03_CLIENT_ADVISORY_OS\02_CLIENT_INTELLIGENCE\02_READINESS_STAGE_MODEL_v2.0.md,T5,none,Advisory Desk,how close to action
DM-003,model,Tiering 1-2-3-Excluded,tiering,00_AI_OPERATING_SYSTEM\03_CLIENT_ADVISORY_OS\03_CONVERSATION_CONVERSION\01_DIAGNOSIS_CALL_SYSTEM_v2.0.md,T5,none,Advisory Desk,advisory fit gate
AR-001,archetype-library,Buyer Segment Library (7 segments),archetype,00_AI_OPERATING_SYSTEM\03_CLIENT_ADVISORY_OS\02_CLIENT_INTELLIGENCE\01_BUYER_SEGMENT_LIBRARY_v2.0.md,T5,none,Advisory Desk,FCC/DINK/FHA/DFP/RM/HECO-Q/FAP
AR-002,language-vault,Client Language Vault,voice-of-client,E:\Zoom Consults - Processed\_CONSULT_INTELLIGENCE_OS\03_CLIENT_LANGUAGE_VAULT\CLIENT_LANGUAGE_VAULT.md,T3,PII-raw-Edrive,Advisory Desk,registered not copied; use anonymised Traps Bank in-OS
