priority,build_month,url_slug,page_type,search_intent,primary_keyword,secondary_questions,page_goal,cta,internal_links,proof_needed,video_needed,schema_types,funnel_connection
P0,1,/,homepage,navigational,The Second Property Ladder Singapore,What is the Second Property Ladder? | Who is this for? | How do I know which step I am on?,Establish category and route visitors to diagnostic or Position Map session,Take the diagnostic / Book a Position Map session,/second-property-ladder;/exit-before-entry;/position-map-session;/edmund-tan;/cindior-ho;/case-studies,Founder proof line and portfolio summary [VERIFY figures],Y - Founder journey overview,Organization;WebSite;Service;BreadcrumbList,TOFU entry - routes to diagnostic (secondpropertyladder.com) and Position Map session
P0,1,/about,authority,navigational,The REI Method advisory Singapore,What is The REI Method? | Who are the founders? | Is this agency or advisory?,Explain the advisory brand behind the category and its method,Book a Position Map session,/edmund-tan;/cindior-ho;/second-property-ladder;/exit-before-entry;/reviews,"Founder story, PropNex CEA credentials [VERIFY]",N,Organization;AboutPage;BreadcrumbList,MOFU trust - supports founder and offer pages
P0,1,/edmund-tan,founder,navigational,Coach Edmund Tan property Singapore,Who is Coach Edmund Tan? | What is his property track record? | Is he a licensed salesperson?,"Build E-E-A-T entity for lead founder, connect to media and case studies",Book a Position Map session,/about;/cindior-ho;/case-studies;/second-property-ladder;/reviews,"Portfolio journey since 2019 [VERIFY], CEA reg no [VERIFY]",Y - Founder journey / Math Doesnt Lie,Person;ProfilePage;BreadcrumbList,"Entity foundation - authority face, links to offer and proof"
P0,1,/cindior-ho,founder,navigational,Cindior Ho property Singapore,Who is Cindior Ho? | What is her role at The REI Method? | Is she a licensed salesperson?,"Build E-E-A-T entity for co-founder, establish dual-founder brand",Book a Position Map session,/about;/edmund-tan;/case-studies;/second-property-ladder;/reviews,"Co-founder bio [VERIFY], CEA reg no [VERIFY]",N,Person;ProfilePage;BreadcrumbList,Entity foundation - co-founder authority face
P0,1,/second-property-ladder,hub,commercial,second property Singapore,What is the Second Property Ladder? | What are the 5 steps? | Who is a Property Climber?,"Own the category, explain the method, hub for all demand pages",Take the diagnostic / Book a Position Map session,/exit-before-entry;/position-map-session;/guides;/case-studies;/tools;/faq,"Founder proof, method IP, 38000 agents stat [VERIFY]",Y - Category explainer,Article;Service;ItemList;BreadcrumbList;FAQPage,"Category brand hub - top of hub-and-spoke, every demand page links up here"
P0,1,/exit-before-entry,authority,informational,exit before entry property Singapore,What is Exit Before Entry? | Why research the exit first? | How do I know if a property is exit-ready?,Establish the category law and reframe exit-first buying,Book a Position Map session,/second-property-ladder;/position-map-session;/guides/how-to-choose-exit-ready-property;/case-studies/exit-before-entry-in-action,Exit-first case example [VERIFY],Y - Exit-Ready,Article;BreadcrumbList;FAQPage,"Category law page - differentiator, feeds Position Map session"
P0,1,/position-map-session,offer,commercial,property strategy session Singapore,What is a Position Map session? | What do I get from it? | How long is the session?,Convert to the single universal CTA (45-min Position Map session),Book a Position Map session,/second-property-ladder;/edmund-tan;/cindior-ho;/case-studies;/reviews;/faq,"Session outcomes, reviews, founder credibility",N,Service;Offer;BreadcrumbList;FAQPage,"BOFU - primary conversion page, all CTAs point here"
P0,1,/case-studies,hub,navigational,property upgrade case studies Singapore,Real HDB to condo upgrade stories? | Decoupling case study Singapore? | Exit-first results?,Aggregate proof by the 7 case-study categories,Book a Position Map session,/case-studies/hdb-to-condo-exit-first;/case-studies/two-name-path-decoupling;/position-map-session;/second-property-ladder,Client outcomes [VERIFY all figures],N,CollectionPage;ItemList;BreadcrumbList,MOFU proof hub - supports offer conversion
P0,1,/reviews,reviews,navigational,The REI Method reviews Singapore,Are the reviews genuine? | What do clients say about the Position Map session? | Client testimonials?,Aggregate testimonials and Google reviews for trust,Book a Position Map session,/position-map-session;/edmund-tan;/cindior-ho;/about,Genuine client reviews (no fabrication),N,Review;AggregateRating;BreadcrumbList,"BOFU trust - supports conversion, feeds GBP"
P0,1,/tools,hub,navigational,Singapore property calculators,ABSD calculator? | CPF accrued interest estimator? | Sell first or buy first?,Aggregate the calculators as demand-capture magnets,Try a calculator / Book a Position Map session,/tools/absd-calculator;/tools/sell-first-or-buy-first-sequencer;/tools/cpf-accrued-interest-estimator;/tools/mop-timeline-checker;/second-property-ladder,None (utility),N,CollectionPage;ItemList;BreadcrumbList,TOFU demand capture hub - tools feed diagnostic and session
P0,1,/guides,hub,navigational,Singapore second property guides,How to sell HDB and buy condo? | ABSD on second property? | Should I sell my HDB after MOP?,Aggregate demand-capture guides by cluster,Take the diagnostic / Book a Position Map session,/guides/sell-hdb-buy-condo;/guides/absd-second-property;/second-property-ladder;/tools,None,N,CollectionPage;ItemList;BreadcrumbList,TOFU content hub - bridges demand queries to category
P1,1,/faq,faq,informational,second property Singapore FAQ,Do I pay ABSD on a second property? | Can I own two properties in Singapore? | When can I sell my HDB?,Answer-first FAQ block for AEO citation across topics,Book a Position Map session,/second-property-ladder;/guides/absd-second-property;/position-map-session,Regulatory answers [VERIFY + date-stamp],N,FAQPage;BreadcrumbList,"MOFU - AEO answer surface, routes to offer"
P1,1,/contact,navigational,navigational,contact The REI Method,How do I reach Edmund and Cindior? | Where are you located? | How to book a session?,Provide contact and booking paths with PDPA-compliant form,Book a Position Map session,/position-map-session;/about;/privacy;/pdpa,"PDPA consent, CEA compliance block",N,ContactPage;Organization;BreadcrumbList,BOFU - direct contact and booking
P0,1,/privacy,compliance,navigational,privacy policy,How is my data used? | Do you share my data?,Legal privacy compliance,None,/pdpa;/disclaimer;/contact,PDPA 2012 compliance,N,WebPage;BreadcrumbList,Compliance - sitewide footer link
P0,1,/disclaimer,compliance,navigational,property disclaimer Singapore,Is this financial advice? | Are past results guaranteed?,"Risk and no-guarantee disclaimer, CEA salesperson disclosure",None,/privacy;/pdpa;/about,CEA reg + PropNex licence [VERIFY],N,WebPage;BreadcrumbList,Compliance - protects all claims pages
P0,1,/pdpa,compliance,navigational,PDPA consent Singapore,How do you handle my personal data? | Can I withdraw consent?,PDPA and DNC consent notice,None,/privacy;/disclaimer;/contact,PDPA 2012 + DNC compliance,N,WebPage;BreadcrumbList,Compliance - governs all forms
P0,1,/tools/absd-calculator,tool,commercial,ABSD calculator Singapore,How much ABSD on a second property? | ABSD rate for citizens 2026? | ABSD on $1.5M property?,Capture high-intent ABSD searchers with a working calculator,Book a Position Map session,/guides/absd-second-property;/second-property-ladder;/tools/sell-first-or-buy-first-sequencer;/position-map-session,ABSD rates [VERIFY + date-stamp 2026],N,SoftwareApplication;WebApplication;BreadcrumbList;FAQPage,"TOFU high-intent - captures ABSD demand, links to Exit Before Entry frame"
P0,1,/tools/sell-first-or-buy-first-sequencer,tool,commercial,sell first or buy first Singapore,Should I sell my HDB before buying a condo? | Buy first or sell first? | What is the safe order?,Capture sequence-timing demand and reframe as Move Sequence,Book a Position Map session,/guides/sell-hdb-buy-condo;/compare/sell-first-vs-buy-first;/second-property-ladder;/position-map-session,Sequence logic (method IP),N,SoftwareApplication;WebApplication;BreadcrumbList,TOFU high-intent - reframes timing panic into Move Sequence
