"week","month","theme_pillar","long_form_title","article_slug","shorts_angles","carousel_topic","email_subject","gbp_post","funnel_tiein","case_study_ref","notes"
"1","Jul 2026","The 5 Steps","Position Map: How to Get Your Real Numbers Before You Plan a Second Property Move","/guides/position-map-second-property","3 numbers to check before your next move; What a Position Map actually is, in 60 seconds; Why 'can I afford it' isn't the first question","5 Steps of The Second Property Ladder overview","The first number to check before your next property move","Considering your next property move? Start with a Position Map — book a session this week.","Position Map session","-","Engine launch week — introduce SPL vocabulary fresh across every channel from Week 1."
"2","Jul 2026","Founder Proof","We Built It Before We Advised It: Edmund and Cindior's Own Property Climb Since 2019","/proof/founder-property-climb-since-2019","Our first property vs our property now; The flat we started in; Why we map our own numbers first","Founder timeline 2019-2026 [VERIFY figures]","We built it before we advised it","Meet the founders behind The Second Property Ladder.","Position Map session","Founder journey (Tre Ver -> Parc Clematis -> United Square) [VERIFY]","Anchor founder authority early; verify all $ figures before publish."
"3","Jul 2026","The 5 Steps","The 5 Steps Before Any Second Property Purchase in Singapore, In Order","/guides/five-steps-second-property-singapore","Step 3 is the one most buyers skip; Direction Statement in 40 seconds; Order before offer, explained","Move Sequence explainer","The order is the product","5 steps, in order, before your next property move.","Position Map session","-","Diagnostic (Which Step Are You On) not yet built — do not tease it as live."
"4","Aug 2026","Founder Proof","The Family Legacy Behind The Second Property Ladder: Why We Built This Method","/proof/family-legacy-second-property-ladder","Why we called it a ladder, not a checklist; The belief that built this method; Property was never the goal, options were","Manifesto carousel: 'Property was never the goal. Options were.'","Why we call it a ladder, not a shopping list","Happy National Day — what family legacy means to us this year.","Position Map session","-","National Day family-legacy framing."
"5","Aug 2026","Case Studies","Case Study: Strategic Repositioning From HDB to a Two-Property Direction","/case-studies/hdb-to-two-property-repositioning","From HDB to a two-property direction; The repositioning nobody told them was possible; What changed after they mapped their position","Before/after NAV climb carousel [VERIFY figures]","How one family repositioned toward two properties","New case study: how one family found their next move.","Position Map session","Edward & Rose [VERIFY names/figures]","Verify all figures/names against Phase 09 Proof Library before publish."
"6","Aug 2026","Founder Proof","What '38,000 Agents Can Show You Property' Actually Means for Progressing Families","/proof/38000-agents-market-context","38,000 agents can show you property, here's what they can't; The one thing 38,000 agents don't show you; Why property count isn't the same as sequence","Market context stat carousel [VERIFY stat]","38,000 agents, one missing step","More than 38,000 agents in Singapore. One missing step. Here's what it is.","Position Map session","-","Verify '38,000 agents' stat before publish; usage refers to the locked market-size one-liner only, never to Edmund/Cindior's own role."
"7","Aug 2026","Case Studies","Case Study: The Exit That Unlocked a Family's Next Move","/case-studies/exit-unlocked-next-move","The exit that unlocked their next move; What they researched before they sold; Why the buyer mattered more than the price","Exit Before Entry case study carousel","The exit that came before the entry","New case study: the exit that unlocked their next move.","Position Map session","MoK & Jine [VERIFY]","Verify names/figures; 'Next Move' used here as a locked proof-category name, not generic filler."
"8","Aug 2026","Founder Proof","From a Sub-$600K Flat to a Multi-Property Family Portfolio: The Sequence We Actually Used","/proof/sub-600k-flat-to-portfolio","The flat that started it all; Sub-$600K to a multi-property family portfolio; What we'd tell our younger selves","Origin story carousel [VERIFY figures]","We started in a sub-$600K flat","From a sub-$600K flat to where we are now — our own sequence.","Position Map session","Founder journey [VERIFY]","Month-end founder-authority close-out; verify figures."
"9","Sep 2026","Exit Before Entry","Policy Clock: How ABSD, MOP and SSD Timing Decide When You're Allowed to Exit","/guides/policy-clock-absd-mop-ssd","What the Policy Clock actually controls; ABSD, MOP, SSD in 60 seconds; The date most buyers forget to check","Policy Clock timeline carousel [VERIFY dates]","The clock that decides when you can exit","Cooling measures, four years on — what actually changed.","Position Map session","-","Annual cooling-measure-anniversary content; verify current ABSD/MOP/SSD figures against latest HDB/MAS circulars before publish."
"10","Sep 2026","Exit Before Entry","Exit Before Entry: Why the Buyer Who Sells Your Property Matters Before You Purchase It","/guides/exit-before-entry-second-property","Exit Before Entry in one sentence; Why the buyer matters before the buy; The question we ask before any purchase","Exit Before Entry category law carousel","No move is safe until the exit is understood","Exit Before Entry, explained in one post.","Position Map session","-","Category-law anchor content."
