proof_id,type,category,asset_name,claim_or_story,confidence_flag,verification_needed,consent_needed,used_on_pages,used_in_funnels,used_on_social,priority,status
PL-001,founder proof,Founder Authority,"Sub-$600K HDB origin story","'We started in a sub-$600K HDB flat' — founder origin point, basis of the lived-experience contrast vs the '38,000 agents' market stat","INFERRED","Yes — confirm purchase year, flat type and price against HDB/CPF records","No (founder's own story)","thereimethod.com/edmund-tan; thereimethod.com/second-property-ladder","Legacy Launch V2 L3 reels; Position Map session opening narrative","IG @propertycoachedmundtan; FB coachedmundtan; YouTube L3 reels","P0","Active in reel scripts — do not reuse on authority domain until record-verified"
PL-002,founder proof,Founder Authority,"The Tre Ver purchase (first climb move)","First upgrade move since 2019; precedes the Tre Ver 2BR result claim","INFERRED","Yes — confirm purchase date, unit type, price against SPA","No","thereimethod.com/edmund-tan (Founder Proof pillar)","None live — planned founder long-form story asset","YouTube founder-journey long-form (planned)","P0","Narrative confirmed verbally by founder; documentary evidence not sighted"
PL-003,founder proof,Founder Authority,"Parc Clematis purchase (second climb move)","Second upgrade move in the founder sequence, feeds the $1.15M to $1.525M result claim","INFERRED","Yes — confirm SPA/price","No","thereimethod.com/edmund-tan","None live — planned founder long-form story asset","YouTube founder-journey long-form (planned)","P0","Same verification gap as PL-002"
PL-004,founder proof,Founder Authority,"United Square purchase (third climb move)","Third move in the founder sequence; property type unconfirmed (commercial vs residential affects loan/ABSD framing)","INFERRED","Yes — confirm property type and price; type materially changes the story's regulatory framing","No","thereimethod.com/edmund-tan","None live","None live","P1","Least-detailed step in the journey; needs a fact-finding session with founder before publish"
PL-005,founder proof,Founder Authority,"4-bedroom east-side purchase (current move)","Most recent move in the founder journey; co-purchase structure with family","INFERRED","Yes — confirm price, financing structure, and named co-owners","Yes — if a named family co-owner appears on the page, their consent is required","thereimethod.com/edmund-tan","None live","None live","P0","Central to the Two-Name Advantage authority proof; co-owner consent not yet obtained"
PL-006,founder proof,Founder Authority,"Co-purchase structure with family (Two-Name Advantage authority proof)","Founder used a multi-name ownership structure as part of his own climb — direct authority proof for the Two-Name Advantage category","INFERRED","Yes — confirm legal ownership structure and names on title","Yes — family co-owner consent required before naming","thereimethod.com/edmund-tan; Two-Name Advantage case-study cluster","None live","None live","P1","Needs co-owner sign-off before any public naming"
PL-007,founder proof,Founder Authority,"'We built it before we advised it' doctrine","Locked proof line anchoring founder authority — lived experience vs the 38,000-agent market","PROVEN","None — this is an internal positioning decision, not an external claim","No","Homepage; thereimethod.com/edmund-tan; thereimethod.com/second-property-ladder","Position Map session; Blueprint offer page","IG; FB; YouTube — all channels","P0","Locked, ready to use as written"
PL-008,portfolio proof,Portfolio Stats,"Tre Ver 2BR $1.05M to $1.28M","Founder's own unit appreciation figure, used in reels and funnel proof strips","INFERRED","Yes — confirm against SPA and resale contract/valuation","No (founder's own portfolio, no third party named)","thereimethod.com/edmund-tan proof strip; Legacy Launch bridge page","Legacy Launch V2 L3 reels","IG; FB; YouTube reels","P0","In active reel scripts today — must not reuse until verified per D7"
PL-009,portfolio proof,Portfolio Stats,"Parc Clematis $1.15M to $1.525M","Founder's own unit appreciation figure","INFERRED","Yes — confirm against SPA and resale contract/valuation","No","thereimethod.com/edmund-tan proof strip","Legacy Launch V2 L3 reels","IG; FB; YouTube reels","P0","Same treatment as PL-008"
PL-010,portfolio proof,Portfolio Stats,"Own NAV under $1M to over $5M in under 5 years","Founder's headline net-asset-value growth claim from the reel claims bank","INFERRED","Yes — confirm full NAV calculation across all properties, netting CPF and outstanding loans","No","Founder proof strip; thereimethod.com/second-property-ladder","Legacy Launch V2 L3 reels","IG; FB; YouTube reels","P0","Highest-risk claim — reads adjacent to an income/return guarantee; compliance review required before reuse"
PL-011,portfolio proof,Portfolio Stats,"Household NAV $6.6M to $9M potential","Master Context Brief's current NAV figure for the founder household","INFERRED","Yes — confirm current valuations of all four properties","No","thereimethod.com/edmund-tan","None live","None live","P1","Conflicts with PL-010's figure ($1M to $5M) — reconcile which NAV statement is current before publishing either"
PL-012,portfolio proof,Portfolio Stats,"$160,014,029 collectively invested","Legacy Launch V2 trust stat, stated to the dollar","INFERRED","Yes — define what the figure counts (total transacted value of advised clients?) and reconcile against a ledger","No (aggregate business stat, no client identified)","Legacy Launch V2 bridge page; category hub trust strip","Legacy Launch V2 (live); Legacy Launch (live)","None currently","P0","Precise-to-the-dollar figure creates false-precision risk — needs source ledger and a stated methodology before reuse (see Compliance-Safe Claims Guide, 09_PROOF_LIBRARY_SYSTEM.md)"
PL-013,portfolio proof,Portfolio Stats,"100+ buyers guided","Legacy Launch V2 trust stat","INFERRED","Yes — cross-check against Won-stage contact count in the 1-To-1 Pipeline (GHL)","No","Legacy Launch V2 bridge page; category hub trust strip","Legacy Launch V2 (live); Legacy Launch (live)","None currently","P0","CRM audit not yet run"
PL-014,client proof,The Exit That Unlocked the Next Move,"Edward & Rose — result data","Client story tag only; no figures or transaction detail in any document sighted","UNTESTED","Yes — obtain full narrative and figures from founder/CRM","Yes — written consent required before any use","(future) thereimethod.com/case-studies/edward-and-rose","Blueprint offer page proof block (planned)","IG/FB story highlight (planned)","P0","First names only — case study cannot be drafted until interview + consent + figures obtained"
PL-015,client proof,Two-Name Advantage,"MoK & Jine — result data","Client story tag only; joint-name pairing suggests Two-Name Advantage fit","UNTESTED","Yes — obtain full narrative and figures","Yes","(future) thereimethod.com/case-studies/mok-and-jine","Blueprint offer page proof block (planned)","None yet","P1","Same gap as PL-014"
PL-016,client proof,Repositioning for Long-Term Growth,"Win/Esther & Family — result data","Client story tag only; name ambiguity ('Win/Esther') needs founder clarification","UNTESTED","Yes — obtain full narrative, figures, and confirm which name is correct","Yes","(future) thereimethod.com/case-studies/win-esther-family","Blueprint offer page proof block (planned)","None yet","P1","Resolve name ambiguity before drafting"
PL-017,client proof,The Missed Window Warning,"Lynn — walk-away story","Client declined/walked away from a purchase; no transaction figures, story only","UNTESTED","Yes — obtain full narrative: what was almost bought, why she walked away, outcome since","Yes","(future) thereimethod.com/case-studies/lynns-walk-away","Blueprint offer page proof block (planned)","None yet","P0","Strongest differentiation story available (advisory says 'don't buy') — only a story tag exists, no transcript"
PL-018,case study,The Exit That Unlocked the Next Move,"Edward & Rose case study page","Selection Research (Step 4) surfaced a stronger exit than expected, funding the next move","INFERRED","Yes — full 10-part narrative build + fact-check against PL-014","Yes","thereimethod.com/case-studies/edward-and-rose","Blueprint page; Position Map session follow-up email","IG carousel; YouTube case-study cut","P0","Not yet drafted"
PL-019,case study,Strategy Over Comfort,"[GAP] no confirmed client story yet","No named client fits this category; founder's own Tre Ver-to-Parc Clematis move usable only as an interim illustrative substitute","INFERRED (founder substitute) / UNTESTED (client version)","Yes — source a genuine client who chose the harder, less comfortable sequence over staying put","Yes (once a client is sourced)","(placeholder) thereimethod.com/case-studies/strategy-over-comfort","None yet","None yet","P1","PROOF GAP — search GHL 1-To-1 Pipeline Won-stage contacts using `biggest_worry` / `monthly_comfort` fields for a candidate"
PL-020,case study,Repositioning for Long-Term Growth,"Win/Esther & Family case study","Family repositions into a stronger long-term asset for multi-generational planning","INFERRED","Yes — full 10-part narrative build + fact-check against PL-016","Yes","thereimethod.com/case-studies/win-esther-family","Blueprint page","IG carousel; YouTube case-study cut","P1","Not yet drafted"
PL-021,case study,One Stronger Asset Before Two,"[GAP] Hold-Two Path consolidation story","No client story exists demonstrating consolidation into one stronger asset rather than holding two","UNTESTED","Yes — no client identified; source from CRM","Yes (once sourced)","(placeholder) thereimethod.com/case-studies/one-stronger-asset","None yet","None yet","P0","PROOF GAP — zero raw material; needed to make the 'consolidate, don't split' argument credible; highest-priority gap in the library"
PL-022,case study,Two-Name Advantage,"MoK & Jine case study","Joint-name ownership structure creates option-value advantage over single-name path","INFERRED","Yes — full 10-part narrative build + fact-check against PL-015","Yes","thereimethod.com/case-studies/mok-and-jine","Blueprint page","IG carousel; YouTube case-study cut","P1","Not yet drafted"
PL-023,case study,The Missed Window Warning,"Lynn's walk-away case study","Client nearly bought into a trap; Selection Research/timing signals led to a walk-away that protected her position","INFERRED","Yes — full 10-part narrative build + fact-check against PL-017","Yes","thereimethod.com/case-studies/lynns-walk-away","Blueprint page; Position Map session follow-up email","IG carousel; YouTube case-study cut","P0","Not yet drafted — prioritise given strength of differentiation angle"
