source_domain,source_path,destination_url,redirect_type,action,priority,precondition_checks,owner,status,notes
legacylaunch.com.sg,(domain root),https://legacylaunch.com.sg/,n/a,dns_attach,P0,"Confirm registrar/DNS access; funnel ILuFW2Qv6l9UIXk6lUIM live in GHL",GHL admin,todo,"Attach domain in GHL Sites > Domains; apply GHL-issued CNAME/A records. Currently NO domain attached — funnel depends on whitelabel preview URL."
legacylaunch.com.sg,/ (bridge),https://thereimethod.com/legacy-launch,canonical,set_canonical,P1,"Authority /legacy-launch page must exist first",GHL admin,todo,"Bridge page INDEXABLE; inject <link rel=canonical> in page head via Tracking Code > Head. Must be answer-complete, not a bare redirect."
legacylaunch.com.sg,/strategy-call,,noindex,set_noindex,P1,"Confirm page 4JECqA37xZnvFFNi3DTa is Step 1 opt-in",GHL admin,todo,"Inject <meta name=robots content='noindex,nofollow'> in page head. Legacy Launch V2 Step 1."
legacylaunch.com.sg,/schedule-call,,noindex,set_noindex,P1,"Confirm Step 2 booking page",GHL admin,todo,"noindex,nofollow. Booking step; embeds calendar 34KkdVJncaYiuAOjE0FP."
legacylaunch.com.sg,/thank-you,,noindex,set_noindex,P2,none,GHL admin,todo,"noindex,nofollow. Post-booking confirmation if present."
legacylaunch.com.sg,(all funnel pages),,n/a,footer_fix,P0,"CEA reg nos + PropNex licence no. [VERIFY]",Copy owner + PropNex compliance,todo,"Replace '(c) Singapore Real Estate Insider' with The REI Method entity block + link to thereimethod.com + founder pages; add CEA compliance line; replace 'This is advisory, not agency' with 'Advisory-first. We plan the sequence before any transaction.'"
legacylaunch.com.sg,(domain),n/a,n/a,meta_verify,P1,"Meta Business Manager access",Ads owner,todo,"Verify domain in Meta (DNS TXT or meta tag) before paid traffic; set pixel; confirm ad_id/campaign_id/utm attribution fires."
secondpropertyladder.com,(domain root),https://secondpropertyladder.com/,n/a,dns_attach,P1,"Diagnostic funnel built in GHL (spl_* fields not yet created)",GHL admin,todo,"Attach domain in GHL once diagnostic funnel exists. Depends on diagnostic build (doc 06)."
secondpropertyladder.com,/ (bridge),https://thereimethod.com/second-property-ladder,canonical,set_canonical,P1,"Authority category hub /second-property-ladder must exist first",GHL admin,todo,"Bridge page INDEXABLE; canonical to category hub via head code. Carry substantive intro content to avoid doorway classification."
secondpropertyladder.com,/quiz,,noindex,set_noindex,P1,"Diagnostic funnel built",GHL admin,todo,"noindex,nofollow. 14-question diagnostic screens (Checkpoints/Gates)."
secondpropertyladder.com,/start,,noindex,set_noindex,P2,none,GHL admin,todo,"noindex,nofollow. Diagnostic hook/entry screen."
secondpropertyladder.com,/result,,noindex,set_noindex,P2,none,GHL admin,todo,"noindex,nofollow. Scored result screen (spl_step_result / band)."
secondpropertyladder.com,/strategy-call,,noindex,set_noindex,P1,none,GHL admin,todo,"noindex,nofollow. Position Map session opt-in."
secondpropertyladder.com,/schedule-call,,noindex,set_noindex,P1,none,GHL admin,todo,"noindex,nofollow. Booking step."
secondpropertyladder.com,/thank-you,,noindex,set_noindex,P2,none,GHL admin,todo,"noindex,nofollow. Confirmation."
secondpropertyladder.com,(all funnel pages),,n/a,footer_fix,P1,"CEA reg nos + PropNex licence no. [VERIFY]",Copy owner + PropNex compliance,todo,"The REI Method entity block + authority link + founder pages + CEA compliance line on every page footer."
secondpropertyladder.com,(domain),n/a,n/a,meta_verify,P1,"Meta Business Manager access",Ads owner,todo,"Verify in Meta before paid traffic; set pixel; confirm quiz_start..capture_submitted events + attribution."
singaporerealestateinsider.com,(GSC property),n/a,n/a,verify_gsc,P0,none,SEO owner,todo,"Add + verify Search Console property BEFORE any 301. Export backlinks + top pages + traffic. [VERIFY]"
singaporerealestateinsider.com,/*,https://thereimethod.com/,301,redirect,P1,"GSC verified; backlink + traffic export done; path map built [VERIFY]",SEO owner + registrar,todo,"Catch-all fallback only. Apex; force HTTPS; one hop. Media brand NAME stays on YouTube — only the website redirects."
www.singaporerealestateinsider.com,/*,https://thereimethod.com/,301,redirect,P1,"Same as apex",SEO owner + registrar,todo,"www -> authority, single hop (do not chain through apex twice)."
singaporerealestateinsider.com,/<historical-path>,https://thereimethod.com/<closest-equivalent>,301,redirect_pathmap,P2,"GSC top-pages export confirms real historical URLs [VERIFY]",SEO owner,todo,"Only if the site ever hosted content. Map high-traffic/high-backlink paths individually before catch-all applies."
singaporerealestateinsider.com,(GSC),n/a,n/a,change_of_address,P2,"301s live and verified",SEO owner,todo,"Submit Change of Address in GSC only if a full site is moving. Keep 301s >=12 months."
