FrameworkID,Name,Family,Purpose,BestUse,AwarenessStage,Channels,Inputs,EvidenceTier,Status,SourcePath,CampaignsUsing,LastReview
FR-01,Hook-Story-Offer Universal Spine,Video/Copy,"Fixed structural foundation for all video ad creation across Reels, VSL, and YouTube long-form","Any video ad 60s-45min; also transferable to written ad copy",PA/SA/PA2 (varies by format),"Reels; VSL; YouTube","Hook type; Mirror lines; Hard Truth line; Reframe; Method name; ONE proof type",Tier 5 (origin technique Tier 4 via 1CC),APPROVED MASTER,00_AI_OPERATING_SYSTEM\05_CONTENT_MARKETING_ENGINE\00_FOUNDATIONS\REI_Video_Production_Foundation_v1.1.md,CMP-20260710-LEGACYLAUNCH-OWNERS-001 (unlaunched),2026-07-11
FR-02,G-Code x Awareness x Pattern x Angle Generation Matrix,Video,"Generates 27 body-script variations x 8 hooks = 216 ad combinations for Legacy Launch Pack 1","Reel ad variation planning and tracking for one campaign's Pack 1 launch",PA/SA/PA2,"Instagram Reels; Facebook Reels; TikTok","G-code profile; awareness stage; script pattern; angle; CTA code","Tier 5 (rubric-scored, zero market data)",CANDIDATE,00_AI_OPERATING_SYSTEM\05_CONTENT_MARKETING_ENGINE\00_FOUNDATIONS\LAYER_3A_REEL_SCRIPT_RULEBOOK_v1.1.md,CMP-20260710-LEGACYLAUNCH-OWNERS-001 (unlaunched),2026-07-11
FR-03,YouTube Authority Engine,Content/Video,"Production control system for long-form YouTube episodes that double as mother assets for repurposed short-form content","45-60min authority episodes; 20-30min explainers; 8-12min authority videos",PA (hook) -> SA -> PA2 (soft close),"YouTube long-form; downstream reels/shorts/carousels/email/WhatsApp","Direction intake (who/problem/format/proof/CTA/playlist); clip extraction plan",Tier 5 (unlaunched),ACTIVE MASTER ENGINE,00_AI_OPERATING_SYSTEM\05_CONTENT_MARKETING_ENGINE\01_CAMPAIGN_LEGACY_LAUNCH\01_ACTIVE_FOUNDATION\07_GLOBAL_YOUTUBE_AUTHORITY_ENGINE_ACTIVE_v1.1.md,CMP-20260710-LEGACYLAUNCH-OWNERS-001 (unlaunched),2026-07-11
FR-04,MAS Content Hierarchy / Trigger Marketing Bank,Copy,"4-level content-to-conversation ladder (Awareness -> Interest -> Desire -> Trigger) governing all trigger-based ad hooks for Legacy Launch (Family Legacy/Mash-up + SI-06 RETIRED per Decisions 058/067 - [FL]/[M] sections are reference only)","Ad hooks; video hooks; email subject lines; caption templates",PA->SA (Level 1-2 are PA-adjacent; Level 3-4 are SA-adjacent),"Meta/Instagram ads; video; email; WhatsApp","Campaign door tag (LL/U live; FL/M historical); belief block; life trigger",Tier 5,ACTIVE,00_AI_OPERATING_SYSTEM\05_CONTENT_MARKETING_ENGINE\04_TRIGGER_MARKETING\MAS_TRIGGER_MARKETING_BANK_v1.0.md,"CMP-LEGACYLAUNCH (Family Legacy/Mash-up rows historic - doors retired)",2026-07-11
FR-05,"Villain Rotation Framework (14 Villains, 2 Voices)",Copy,"Rotating external-threat attack layer sitting on top of the permanent Market Maker spine; each villain is a different front door into the same solution","Cold ad hooks (Voice A Challenger); warm email/VSL (Voice B Peer)",PA (Voice A cold) / SA-PA2 (Voice B warm),"Meta/Instagram ads; email; VSL; landing page","Villain selection tied to live market event; hook stack (ad/landing/email/video)",Tier 5,CANDIDATE,00_AI_OPERATING_SYSTEM\04_AGENT_EDITION_OS\00_POSITIONING\MAS_VillainBank_v2.0_CANDIDATE.md,CMP-2026xxxx-MARKETMAKER-AGENTS-001 (planned),2026-07-11
FR-06,5-Stage Cold-Market Attract Model,Funnel,"Attract-dont-chase cold-agent conversion funnel where the funnel itself demonstrates the product (Market Maker system)","Cold Meta/Instagram traffic for Agent Edition validation campaign",PA -> SA -> PA2 across 5 stages (Position/Interrupt/Self-Diagnose/Nurture/Invite),"Meta/Instagram ads; free Scorecard; email/WhatsApp nurture; application funnel","Cold ad angle; self-diagnostic tool; nurture proof sequence; application criteria",Tier 5,DRAFT,00_AI_OPERATING_SYSTEM\04_AGENT_EDITION_OS\02_MARKETING\MAS_ColdMarket_ConversionModel_v1.0.md,CMP-2026xxxx-MARKETMAKER-AGENTS-001 (planned),2026-07-11
FR-07,1CC Hook-Story-Offer Ad Scripting Handbook,Copy/Creative,"Third-party ad-scripting technique handbook teaching the Hook->Story->Offer structure through 4 worked examples","Any short-or medium-form ad copy needing a proven third-party structural reference",PA/SA (structure is stage-agnostic; case examples skew warm),"Any paid ad channel","Hook type choice; Mirror lines; optional Lie line; Hard Truth; Reframe; named Method; ONE proof type; Offer","Tier 4 (third-party training material, not REI data)",CANDIDATE,00_AI_OPERATING_SYSTEM\06_KNOWLEDGE_VAULT\02_BUYER_PSYCHOLOGY\1CC_TOP_PERFORMING_ADS_BREAKDOWN_v1.0_CANDIDATE.md,None (reference only),2026-07-11
FR-08,MAS 16-Section Landing Page Formula,Funnel,"Fixed section sequence for all MAS landing pages from urgency bar through sticky CTA bar","Any Agent Edition landing page build",SA/PA2 (landing pages are mid-to-bottom funnel),"Landing pages (web)","Headline (transformation promise); subhead (mechanism); proof stats; offer stack; price/anchor; guarantee; FAQ (top 5 objections)",Tier 5,"STALE (C05) - usable skeleton only, pending re-verification",00_AI_OPERATING_SYSTEM\04_AGENT_EDITION_OS\02_MARKETING\MAS_MARKETING_INTELLIGENCE_OS_v1.md,None (no landing page built),2026-07-11
FR-09,7-Rung Yes-Ladder Agreement Stack,Offer/Copy,"Micro-agreement-stacking copy structure that must run through every MAS funnel touchpoint before asking for a decision","Ad copy; landing page problem/agitation section; VSL; email sequence",SA -> PA2,"Ads; landing pages; VSL; email","Identity mirror line; problem-ownership reframe; negative/positive future pace; specific social proof; offer framing; real urgency detail",Tier 5,"STALE (C05) - usable skeleton only, pending re-verification",00_AI_OPERATING_SYSTEM\04_AGENT_EDITION_OS\02_MARKETING\MAS_MARKETING_INTELLIGENCE_OS_v1.md,None,2026-07-11
FR-10,4 Master Ad Angles (System/Plateau/MarketShift/Identity),Copy,"Four anchor ad angles every Agent Edition ad campaign must test from, in cold-to-warm order","Cold traffic (System) through warm retargeting (Identity/Plateau)",PA (System) -> PA2 (Identity/Plateau retargeting),"Meta/Instagram ads","Angle selection; hook pattern per angle; example ad copy",Tier 5,"STALE (C05) - usable skeleton only, pending re-verification",00_AI_OPERATING_SYSTEM\04_AGENT_EDITION_OS\02_MARKETING\MAS_MARKETING_INTELLIGENCE_OS_v1.md,None,2026-07-11
