platform,item,current_state,new_value,depends_on,week,owner,status,notes
Facebook,Handle,facebook.com/coachedmundtan (already correct per D6),No change — keep as-is,none,1,Edmund,keep,"Only platform where handle already matches target family; do not touch"
Facebook,Intro (101-char field),"Solo ""Coach Edmund Tan"" framing, no category, no co-founder",See Profile Rewrite Pack — 93-char version,none,1,Edmund,pending,"Removes agent-adjacent framing, adds category + co-founder"
Facebook,About / Additional Info (long-form),Generic personal-coach copy,See §1.1 full About block + CEA/PropNex disclosure block,CEA reg numbers [VERIFY],2,Edmund,pending,"Publish disclosure line only once numbers confirmed"
Facebook,Profile photo,Solo headshot (assumed),"Co-founder photo (Edmund + Cindior, navy backdrop)",Co-founder photo shoot,2,Edmund + Cindior,pending,"Blocked on photo shoot booking"
Facebook,Cover photo / banner,Generic or none,Navy/gold system banner with SPL + REI Method wordmark,Co-founder photo shoot / design asset,2,Edmund,pending,"Design asset can be built ahead of photo shoot using wordmark only"
Facebook,Pinned post 1 — Manifesto,Not present,"""Property was never the goal. Options were."" full script (§4)",none,1,Edmund,pending,"No dependency — publish immediately"
Facebook,Pinned post 2 — Proof,Not present,"""We built it before we advised it."" script, disclaimer intact (§4)",Portfolio figures [VERIFY],1,Edmund,pending,"Publish with [VERIFY] tags visible in caption until confirmed"
Facebook,Pinned post 3 — Diagnostic CTA,Not present,"""Which Step are you on?"" script, routed to Position Map booking (§4)",Position Map booking link live,3,Edmund,pending,"Swap link to diagnostic once built — track as separate row below"
Facebook,Bio/CTA link (interim),Old funnel link or none,Direct Position Map session booking link,none,1,Edmund,pending,"Interim only — replaced once /links is live"
Facebook,Bio/CTA link (final),Interim booking link,thereimethod.com/links,thereimethod.com live + /links page built,7,Edmund,pending,"Domain-dependent — see Weeks 6-8 plan"
Facebook,Page CTA button,Unknown / generic,"""Learn More"" → thereimethod.com/links (interim: booking link)",thereimethod.com live,7,Edmund,pending,"Aligns with bio link swap"
Facebook,Co-founder credit,Cindior not named anywhere,"Add ""Co-founded with Cindior Ho"" to About + admin credit",Cindior status confirmed,2,Edmund,pending,"Depends on Q4 resolution"
Instagram,Handle,instagram.com/propertycoachedmundtan,"@coachedmundtan (fallback: @coachedmundtan.sg / @thereimethod / @edmundtan.rei)",/links page live [OPEN: availability check],7,Edmund,pending,"Rename only after /links live so bio link is never dead"
Instagram,Name field (bold line),"""Property Coach Edmund Tan""",Edmund Tan | The REI Method,none,1,Edmund,pending,"Separate from @handle — can change immediately"
Instagram,Bio (150-char field),"Property-coach framing, no category",See Profile Rewrite Pack — 122-char version,none,1,Edmund,pending,"No dependency"
Instagram,Business category label,"Likely ""Real estate agent"" or similar",Business consultant (or closest available non-agent category),none,2,Edmund,pending,"Disclosure requirements still apply in bio text regardless of category label"
Instagram,Profile photo,Solo headshot (assumed),Co-founder photo (same asset as Facebook),Co-founder photo shoot,2,Edmund + Cindior,pending,"Same asset as FB for cross-platform consistency"
Instagram,Highlights covers,Unknown / inconsistent,"Navy/gold icon set: 5 Steps, Proof, FAQ, Case Studies, Diagnostic",Design asset,3,Edmund,pending,"Build alongside banner asset"
Instagram,Pinned reels (3),Not confirmed,Manifesto / Proof / Diagnostic CTA scripts (§4),none (Post 3 depends on booking link),1,Edmund,pending,"Same script set as Facebook, reel-native format"
Instagram,Bio link (interim),Old link or Linktree,Direct Position Map session booking link,none,1,Edmund,pending,"Remove any Linktree/third-party bio tool now"
Instagram,Bio link (final),Interim booking link,thereimethod.com/links,thereimethod.com live + /links page built,7,Edmund,pending,"Bundle with handle rename announcement"
Instagram,Posting cadence,Unclear/inconsistent,"4-5 reels/wk (33-script reuse) + 2-3 stories/day + 1 carousel/wk",Reel script relabelling (D5 bridge rule),2,Edmund + Cindior,pending,"Repurpose queue, not new production"
YouTube,Channel handle,@singaporerealestateinsider,No change — keep per D1/D6,none,1,Edmund,keep,"Media brand retained deliberately; do not rename"
YouTube,Channel description (first 150 chars),No SPL/REI Method/founder names,See Profile Rewrite Pack — 140-char version,none,1,Edmund,pending,"Highest AEO weight field on this platform"
YouTube,Channel description (full),Incomplete / legacy vocabulary,See §1.3 full description block,CEA reg numbers [VERIFY],2,Edmund,pending,"Publish disclosure sentence only once numbers confirmed"
YouTube,Banner,"""Singapore Real Estate Insider"" wordmark only",Add subtitle line: SPL + Edmund Tan + Cindior Ho + The REI Method,Design asset,3,Edmund,pending,"2560x1440px, text inside safe-area per YouTube spec"
YouTube,Profile photo,Existing (assumed solo),"[OPEN] co-founder photo vs. retain vs. logo mark — founder decision required",Founder decision,4,Edmund + Cindior,open,"Higher trust-continuity risk than FB/IG given 2,000+ subscriber history"
YouTube,Channel links block,Dead/legacy links,"thereimethod.com/links, then Instagram, then Facebook",thereimethod.com live,7,Edmund,pending,"Remove dead funnel links now regardless of dependency"
YouTube,Pinned video/comment,Not confirmed,"Manifesto / Proof / Diagnostic CTA — reuse existing top videos, updated pinned comment",none,2,Edmund,pending,"Re-pin existing strong performers, no new production needed for week-1"
YouTube,Video description footer (new uploads),No standard footer,Standard footer block (§2) on every new upload,none,1,Edmund,pending,"Apply from this week forward on all new videos"
YouTube,Video description batch update — top tier,No standard footer on ~600 existing videos,Apply standard footer to top 20-30 videos by view count,none,3,Edmund,in progress,"Prioritise by traffic, not chronology"
YouTube,Video description batch update — next tier,Same,Apply standard footer to next 100-150 videos by view count,Top-tier batch complete,9,Edmund,pending,"Continues through Weeks 9-12 and beyond 90-day window"
YouTube,End-screen CTA,Inconsistent / generic,"Diagnostic (once live) or Position Map booking, consistent across new uploads",Diagnostic build OR Position Map link,3,Edmund,pending,"Interim: Position Map; swap once diagnostic ships"
GBP,Listing name/category,Unverified [VERIFY],Align to Phase 8 recommendation (likely The REI Method + founders named),Phase 8 GBP plan finalised,4,Edmund,open,"Full detail in 08_GOOGLE_BUSINESS_PROFILE_PLAN.md — this row is the cross-reference"
GBP,Business description,Unverified [VERIFY],Canonical one-liner (§2) reused verbatim,Phase 8 plan,4,Edmund,pending,"Copy-paste, not rewrite — reinforces identical-string entity matching"
GBP,Website link,Unknown/blank,"thereimethod.com (root, not /links)",thereimethod.com live,7,Edmund,pending,"GBP should land converting local searchers on the authority domain itself"
LinkedIn,Edmund — profile existence,[OPEN — unknown],Confirm existing or create new personal profile,none,1,Edmund,open,"First action before any LinkedIn copy work"
