CreativeID,CampaignID,AngleID,Format,Title,Hook,MainMessage,VisualDevice,CTA,Destination,Platform,Orientations,Status,EvidenceTier,SourcePath,Learning
CR-20260710-LL-TBD-VID-001,CMP-20260710-LEGACYLAUNCH-OWNERS-001,pending,Video,Showflat Loop,TBD - not documented in source; video content not reviewed,TBD - not documented in source,TBD - not documented in source,TBD - not documented in source,TBD,Meta (planned),Horizontal + Vertical,Unlaunched,5,H:\Shared drives\00_E.C.O.S\00_AI_OPERATING_SYSTEM\07_BRAND_AND_PROOF_BANK\06_VIDEO_ADS_MASTER\01_LEGACY_LAUNCH\ (HORIZONTAL / VERTICAL),
CR-20260710-LL-TBD-VID-002,CMP-20260710-LEGACYLAUNCH-OWNERS-001,pending,Video,The Lifestyle Tax,TBD - not documented in source; video content not reviewed,TBD - not documented in source,TBD - not documented in source,TBD - not documented in source,TBD,Meta (planned),Horizontal + Vertical,Unlaunched,5,H:\Shared drives\00_E.C.O.S\00_AI_OPERATING_SYSTEM\07_BRAND_AND_PROOF_BANK\06_VIDEO_ADS_MASTER\01_LEGACY_LAUNCH\ (HORIZONTAL / VERTICAL),
CR-20260710-LL-TBD-VID-003,CMP-20260710-LEGACYLAUNCH-OWNERS-001,pending,Video,The Wrong Checklist,TBD - not documented in source; video content not reviewed,TBD - not documented in source,TBD - not documented in source,TBD - not documented in source,TBD,Meta (planned),Horizontal + Vertical,Unlaunched,5,H:\Shared drives\00_E.C.O.S\00_AI_OPERATING_SYSTEM\07_BRAND_AND_PROOF_BANK\06_VIDEO_ADS_MASTER\01_LEGACY_LAUNCH\ (HORIZONTAL / VERTICAL),
CR-20260710-LL-TBD-VID-004,CMP-20260710-LEGACYLAUNCH-OWNERS-001,pending,Video,The Wrong Map,TBD - not documented in source; video content not reviewed,TBD - not documented in source,TBD - not documented in source,TBD - not documented in source,TBD,Meta (planned),Horizontal + Vertical,Unlaunched,5,H:\Shared drives\00_E.C.O.S\00_AI_OPERATING_SYSTEM\07_BRAND_AND_PROOF_BANK\06_VIDEO_ADS_MASTER\01_LEGACY_LAUNCH\ (HORIZONTAL / VERTICAL),
CR-20260710-LL-TBD-VID-005,CMP-20260710-LEGACYLAUNCH-OWNERS-001,pending,Video,Theory Vs Practical Agent,TBD - not documented in source; video content not reviewed,TBD - not documented in source,TBD - not documented in source,TBD - not documented in source,TBD,Meta (planned),Horizontal + Vertical,Unlaunched,5,H:\Shared drives\00_E.C.O.S\00_AI_OPERATING_SYSTEM\07_BRAND_AND_PROOF_BANK\06_VIDEO_ADS_MASTER\01_LEGACY_LAUNCH\ (HORIZONTAL / VERTICAL),
CR-20260710-LL-TBD-VID-006,CMP-20260710-LEGACYLAUNCH-OWNERS-001,pending,Video,NAV vs Profit Thinking,TBD - not documented in source; video content not reviewed,TBD - not documented in source,TBD - not documented in source,TBD - not documented in source,TBD,Meta (planned),Horizontal + Vertical,Unlaunched,5,H:\Shared drives\00_E.C.O.S\00_AI_OPERATING_SYSTEM\07_BRAND_AND_PROOF_BANK\06_VIDEO_ADS_MASTER\01_LEGACY_LAUNCH\ (HORIZONTAL / VERTICAL),
CR-20260710-LL-TBD-VID-007,CMP-20260710-LEGACYLAUNCH-OWNERS-001,pending,Video,The Obligation Agent,TBD - not documented in source; video content not reviewed,TBD - not documented in source,TBD - not documented in source,TBD - not documented in source,TBD,Meta (planned),Horizontal + Vertical,Unlaunched,5,H:\Shared drives\00_E.C.O.S\00_AI_OPERATING_SYSTEM\07_BRAND_AND_PROOF_BANK\06_VIDEO_ADS_MASTER\01_LEGACY_LAUNCH\ (HORIZONTAL / VERTICAL),
CR-20260710-LL-TBD-VID-008,CMP-20260710-LEGACYLAUNCH-OWNERS-001,pending,Video,Wrong Name Wrong Zone,TBD - not documented in source; video content not reviewed,TBD - not documented in source,TBD - not documented in source,TBD - not documented in source,TBD,Meta (planned),Horizontal + Vertical,Unlaunched,5,H:\Shared drives\00_E.C.O.S\00_AI_OPERATING_SYSTEM\07_BRAND_AND_PROOF_BANK\06_VIDEO_ADS_MASTER\01_LEGACY_LAUNCH\ (HORIZONTAL / VERTICAL),
CR-20260710-LL-TBD-VID-009,CMP-20260710-LEGACYLAUNCH-OWNERS-001,pending,Video,The 90% Filter,TBD - not documented in source; video content not reviewed,TBD - not documented in source,TBD - not documented in source,TBD - not documented in source,TBD,Meta (planned),Horizontal + Vertical,Unlaunched,5,H:\Shared drives\00_E.C.O.S\00_AI_OPERATING_SYSTEM\07_BRAND_AND_PROOF_BANK\06_VIDEO_ADS_MASTER\01_LEGACY_LAUNCH\ (HORIZONTAL / VERTICAL),
CR-20260710-LL-TBD-VID-010,CMP-20260710-LEGACYLAUNCH-OWNERS-001,pending,Video,The Audit Session,TBD - not documented in source; video content not reviewed,TBD - not documented in source,TBD - not documented in source,TBD - not documented in source,TBD,Meta (planned),Horizontal + Vertical,Unlaunched,5,H:\Shared drives\00_E.C.O.S\00_AI_OPERATING_SYSTEM\07_BRAND_AND_PROOF_BANK\06_VIDEO_ADS_MASTER\01_LEGACY_LAUNCH\ (HORIZONTAL / VERTICAL),
