funnel,asset_id,criterion,current_state,score_1_5,issue,recommendation,priority,owner,status
Legacy Launch (old),4W2JREPZkCv6GQknDUOQ,Offer clarity,Confirmed live per brief; no research report captured its actual page copy or offer wording,1,Cannot assess offer messaging without a live content audit,Export/screenshot every page plus GHL page-builder JSON before any keep/sunset decision is made,P0,Ops/Edmund (GHL Admin),Blocked - VERIFY
Legacy Launch (old),4W2JREPZkCv6GQknDUOQ,Audience clarity,Targeting/ad-set data not captured in research,1,No visibility into which audience segments currently feed this funnel,Pull the connected ad account's active campaigns/ad sets targeting this funnel before deciding to sunset,P0,Ops/Edmund (GHL Admin),Blocked - VERIFY
Legacy Launch (old),4W2JREPZkCv6GQknDUOQ,Category alignment,"Predates the 8-9 July 2026 Mechanism v1.3 and CategoryKing docs; almost certainly pre-SPL, likely pre-New Launch Ladder vocabulary too",2,"Likely uses an older, unaudited vocabulary generation; unknown how far it drifts from even New Launch Ladder terms",Audit against Mechanism v1.3 for reference only; do NOT rename live copy yet per D5 sequencing rule,P2,Copywriter/Edmund,Blocked - VERIFY
Legacy Launch (old),4W2JREPZkCv6GQknDUOQ,Search visibility,Domain/subdomain hosting this funnel not confirmed anywhere in the research set,1,Unknown whether this funnel sits on an indexed custom domain or an unindexed GHL default subdomain,Run a site: search and Search Console check on any domain suspected of hosting this funnel,P1,Ops/Edmund (GHL Admin),Blocked - VERIFY
Legacy Launch (old),4W2JREPZkCv6GQknDUOQ,AEO readiness,"Unknown content depth; presumed a short persuasion funnel, not an answer-complete resource",1,Cannot evaluate without a live audit,Defer AEO scoring until live audit completes; do not invest AEO effort into this asset before the sunset decision is made,P2,Ops/Edmund (GHL Admin),Blocked - VERIFY
Legacy Launch (old),4W2JREPZkCv6GQknDUOQ,Proof strength,Unknown which proof stats/case studies this funnel currently displays,1,No visibility into whether displayed figures match or predate the current [VERIFY] claims bank,Capture all displayed proof claims during the live audit and cross-check against the approved claims bank,P1,Copywriter/Edmund,Blocked - VERIFY
Legacy Launch (old),4W2JREPZkCv6GQknDUOQ,CTA strength,Unknown CTA copy and offer name used on this funnel,1,Cannot assess without live audit,Capture CTA button copy during live audit; compare against the CTA Library standard set,P2,Copywriter/Edmund,Blocked - VERIFY
Legacy Launch (old),4W2JREPZkCv6GQknDUOQ,Form fields,Unknown which fields this funnel's form captures,1,No visibility into whether this is an earlier iteration of the V2 qualify form or a different structure entirely,Export the connected form's field schema from GHL during the live audit,P1,Ops/Edmund (GHL Admin),Blocked - VERIFY
Legacy Launch (old),4W2JREPZkCv6GQknDUOQ,Qualification logic,Unknown whether any gating/branching logic exists on this funnel,1,Cannot assess without live audit,Capture qualification copy and any conditional logic during the live audit,P2,Ops/Edmund (GHL Admin),Blocked - VERIFY
Legacy Launch (old),4W2JREPZkCv6GQknDUOQ,CRM handoff,"Presumed functioning at some basic level since the funnel is live and generating leads today, but no confirmed workflow mapping exists in research",2,Unclear whether leads from this funnel are tagged/segmented separately from Changi Green contacts in the same sub-account,Pull the attached workflow and tag list from GHL; confirm no cross-contamination with cg_* Changi Green records,P0,Ops/Edmund (GHL Admin),Blocked - VERIFY
Legacy Launch (old),4W2JREPZkCv6GQknDUOQ,Tracking,Unknown pixel/GA4/UTM setup on this funnel,1,Cannot assess ad spend efficiency or attribution accuracy without a tracking audit,Confirm Meta Pixel/Conversions API and UTM capture during the live audit,P1,Ops/Edmund (GHL Admin),Blocked - VERIFY
Legacy Launch (old),4W2JREPZkCv6GQknDUOQ,Retargeting,Unknown whether any custom audience is currently built from this funnel's traffic,1,Cannot assess without tracking audit,Defer until tracking audit (row above) is complete,P2,Ops/Edmund (GHL Admin),Blocked - VERIFY
Legacy Launch (old),4W2JREPZkCv6GQknDUOQ,Follow-up sequence,"Presumed some automation exists since this is the revenue-generating live asset, but not confirmed",2,No documented workflow found in research for this specific funnel,Export the attached workflow(s) during the live audit; compare cadence against the Follow-Up Sequence Strategy skeleton below,P1,Ops/Edmund (GHL Admin),Blocked - VERIFY
Legacy Launch (old),4W2JREPZkCv6GQknDUOQ,Compliance/disclaimer,"Unverified; V2 (built later, by the same team) is missing the CEA block, so the older funnel is very likely missing it too",1,"High probability of the same CEA-licence-number omission and PDPA entity-naming issues found on V2, on a funnel that is actively live and collecting personal data today","Treat as urgent: audit compliance blocks on this funnel within days, not as part of a later phase, since it is actively running",P0,Compliance/PropNex Liaison,Blocked - VERIFY
Legacy Launch (old),4W2JREPZkCv6GQknDUOQ,Domain placement,Unknown which domain or subdomain currently hosts this funnel,1,Cannot plan a redirect/retirement strategy without knowing the current domain and its traffic/backlink profile,Identify hosting domain; check Search Console/backlinks before any 301 or sunset action (per Master Brief Q6 and Q8),P0,Ops/Edmund (GHL Admin),Blocked - VERIFY
Legacy Launch V2,ILuFW2Qv6l9UIXk6lUIM,Offer clarity,"Single clear free offer: 1-hour New Launch Strategy Call, by application, H1 'We Disqualify 90% of New Launches - So You Buy the One You Can Actually Exit'",4,Offer has no explicit bridge to the master offer ladder's universal CTA (Position Map session); reads as a standalone campaign offer,Add one bridge subhead: 'Also known as your Position Map session' without renaming the CTA button (light-touch fix per D5),P2,Copywriter/Edmund,Open - Pre-Launch
Legacy Launch V2,ILuFW2Qv6l9UIXk6lUIM,Audience clarity,Stated buyer threshold is Singapore buyers with $1M+ moving in 3-6 months,2,"Threshold is materially below the Mechanism v1.3 hard filter ($20k+/month household income, $2.5m+ property capacity); dilutes top-of-funnel quality and likely drives the 90%-disqualification outcome as a symptom of over-broad entry rather than a deliberate feature",Raise stated audience language toward the true filter (e.g. 'built for established Property Climbers planning a $2.5M+ next move') and tighten ad targeting to match,P1,Copywriter/Edmund,Open - Pre-Launch
Legacy Launch V2,ILuFW2Qv6l9UIXk6lUIM,Category alignment,"Uses New Launch Ladder(TM) throughout; no Second Property Ladder(TM) or Exit Before Entry(TM) terms; contains the flagged risk line 'This is advisory, not agency'",2,"Acceptable short-term per D1/D5 (New Launch Ladder is the sanctioned campaign application of SPL) but zero bridge language currently ties it to the master category, so a visitor has no path to the bigger system",Add one bridge line: 'New Launch Ladder(TM) is the new-launch application of The Second Property Ladder(TM)' in the eyebrow or footer; do not rename the H1 or reels yet,P1,Copywriter/Edmund,Open - Pre-Launch
Legacy Launch V2,ILuFW2Qv6l9UIXk6lUIM,Search visibility,No domain attached at all; page presumably lives on an unindexable default GHL URL,1,Zero search presence; cannot rank or be cited by AEO engines; no bridge page exists per D3,Attach legacylaunch.com.sg now; set funnel pages noindex; build one indexable bridge page canonical to the thereimethod.com category hub,P0,Ops/Edmund (GHL Admin),Open - Pre-Launch
Legacy Launch V2,ILuFW2Qv6l9UIXk6lUIM,AEO readiness,"No bridge page, no schema, no citable content depth; the funnel is a persuasion page, not an answer-complete resource",1,Fails D8's no-doorway-page standard by omission since no bridge exists yet,"Build the bridge page in the same sprint as the domain attach, not as a later add-on",P1,Ops/Edmund (GHL Admin),Open - Pre-Launch
Legacy Launch V2,ILuFW2Qv6l9UIXk6lUIM,Proof strength,"Strong stat block: $160,014,029 collectively invested; 100+ buyers guided; 90% of projects disqualified; 600+ videos/2,000+ subscribers - all flagged [VERIFY]",3,"Precision figures (especially the exact $160,014,029) read as audited fact but are unverified; legal/reputational exposure if published unconfirmed","Verify all four stats against records before go-live; if unverifiable, round/soften ('$160M+') or remove until confirmed",P0,Founder (Edmund/Cindior),Open - Pre-Launch
Legacy Launch V2,ILuFW2Qv6l9UIXk6lUIM,CTA strength,"Two clear sequential CTAs: 'Check If You Qualify' then 'Request My Strategy Call', consistent with by-application framing",4,'Request My Strategy Call' undersells the qualification tension established by 'Check If You Qualify' - a request reads soft after being told you must qualify,Consider 'Submit My Application' for the second-step button to preserve by-application tension; not urgent,P2,Copywriter/Edmund,Open - Pre-Launch
Legacy Launch V2,ILuFW2Qv6l9UIXk6lUIM,Form fields,"Form 'Legacy Launch V2 - Qualify' (cw6XigpSZy8OCZgtDC34) captures name/email/mobile, buying timeline, current property type and consent; no income or capacity field anywhere",2,"Form cannot actually evaluate the Mechanism v1.3 buyer filter (income $20k+/mo, capacity $2.5m+) pre-call, so the H1 claim of disqualifying 90% is not backed by form-level qualification - real screening is happening live on the call, wasting advisor time on unqualified bookings. Friction trade-off assessed: an exact income question is high-friction for a cold, first-touch, culturally income-sensitive Singapore form and risks suppressing conversion; a banded multiple-choice field is a single tap and adds negligible friction versus the qualification value returned",Add one banded income-range field (e.g. $20k+/mo / $10-20k/mo / under $10k/mo / prefer not to say) and repurpose the existing unused GHL field next_budget as a banded capacity-proxy select on this same form - do not build new fields or ask for exact dollar figures,P1,Ops/Edmund (GHL Admin),Open - Pre-Launch
Legacy Launch V2,ILuFW2Qv6l9UIXk6lUIM,Qualification logic,Qualification is copy-only ('for you / not for you' lists) plus presumed live triage on the call; no conditional branching or auto-decline path in the form itself,2,Every submission proceeds straight to the same booking calendar regardless of fit; no soft-decline path protects advisor time,"Add conditional logic: if current property = first-time buyer AND timeline = just exploring, route to a nurture thank-you page instead of the booking calendar",P1,Ops/Edmund (GHL Admin),Open - Pre-Launch
Legacy Launch V2,ILuFW2Qv6l9UIXk6lUIM,CRM handoff,"Form exists and presumably lands contacts in the 1-To-1 Pipeline New Lead stage by GHL default; no confirmed workflow advances the contact through Responded, Booked Call, Appointment, Strategy Session as they move through the funnel",2,"No verified automation moves a contact between pipeline stages as they book/attend, creating pipeline reporting drift and manual-update dependency",Build one workflow: form submit sets tag llv2-lead and stage New Lead; calendar booking event auto-moves to Booked Call; call outcome (manual field or calendar status) advances to Appointment / Strategy Session / Won / Lost / Nurture / Unqualified,P1,Ops/Edmund (GHL Admin),Open - Pre-Launch
Legacy Launch V2,ILuFW2Qv6l9UIXk6lUIM,Tracking,No pixels found in the funnel files per Report 3; no confirmed Meta Pixel/Conversions API or GA4; existing utm_source/ad_id/campaign_id/click_id fields are unused without an active pixel,1,Cannot optimise ad spend or build any retargeting audience without conversion tracking,Install Meta Pixel + Conversions API and GA4 on the funnel domain before sending paid traffic; map UTM hidden fields to the existing utm_source/campaign_id/ad_id custom fields,P0,Ops/Edmund (GHL Admin),Open - Pre-Launch
Legacy Launch V2,ILuFW2Qv6l9UIXk6lUIM,Retargeting,None exists; blocked entirely on the missing tracking above,1,"Every non-converting reel view or funnel visit is currently a fully cold, unrecoverable impression","Once the pixel is live, build a Meta custom audience of all /strategy-call visitors who did not submit the form, for a warm retargeting sequence",P1,Ops/Edmund (GHL Admin),Open - Pre-Launch
Legacy Launch V2,ILuFW2Qv6l9UIXk6lUIM,Follow-up sequence,"No follow-up workflow found for leads who submit but do not book, or book but do not attend",1,Captured leads with no immediate booking have no nurture path back into the funnel - likely lead leakage,Build WhatsApp+email day-0/1/3/7 sequence gated by lead grade once qualification logic (row above) exists; see Follow-Up Sequence Strategy section,P1,Ops/Edmund (GHL Admin),Open - Pre-Launch
